station_id,cluster
dc5b86e3-dbeb-4029-82fa-607c82ae9f36,Chemnitz
dc98aae5-e78f-42d0-ae89-7015b8e621d0,Stuttgart
dcc3b3d9-34cb-4893-bff6-b9cbd30601fb,Berlin
dcdb5b92-69cc-4b24-a35c-b8155431b977,Stuttgart
dce7361a-9c83-472b-9e6b-0f2af980b06c,Nürnberg
dcf1bbc0-8bf8-4008-93aa-6691d6731086,Kiel
dcfade20-6486-4939-9160-5145db83c43c,Magdeburg
dd45e653-190b-4b30-b45a-49b708c5a9ba,Kassel
dd4dc453-2854-4bc9-ac96-5adee91cb0f9,Leipzig
dd6e34cb-6742-4427-8ddd-20f9fe5873ad,Magdeburg
dd850bf9-35e6-46e5-8bc1-e7882e54cff1,Stuttgart
dd979897-df6a-44ad-92de-a555bbd2fe4c,Chemnitz
ddbfe94a-571a-40e2-8439-5ba066a8f6c2,Stuttgart
ddc143a0-49b2-40a9-a6de-29c009a6c1c1,Berlin
de1cf612-f137-47d1-8e73-a59ba8b0cb3d,Kiel
de208d1d-0999-4bf5-b6a4-abcccc7c079a,Kiel
de20bca5-64e2-4a4a-71f8-40a562277e6d,Stuttgart
de2e2b16-448e-439a-a544-b45c685431ae,Berlin
de784540-d7e3-4e3d-97f8-1735342af8d6,Nürnberg
dea1b192-e5ff-4d70-9791-689ef5c65247,Berlin
deb0308c-df78-4517-83ff-3f39f6a9acc2,Leipzig
dec680d5-b064-46ea-9774-134bcb82b122,Magdeburg
defadb89-ee11-459a-9ce5-416df31ee2e8,Berlin
defffb81-c4da-4f04-92eb-bb503de51e12,Stuttgart
df2a7e83-b86f-461e-9b44-4410d8704ce9,Stuttgart
df3daf6c-814a-4891-97dd-f8fcb5e5027b,Stuttgart
dfbcb1cf-0bf1-4d03-be32-eb2fd463a7fc,Stuttgart
dfcd38b3-602f-4d88-bb2f-f169c7176ea6,Nürnberg
dfe3bd39-83cd-43b9-8628-f09896331b19,Stuttgart
dfe6ad4e-eda2-46e4-9353-aa0df7d3079d,Kassel
e00e886b-3d1f-4746-a23c-9d8defd7132c,Kassel
e0c8c2ba-cf2f-49a4-a271-fad8b0b99743,Kassel
e0e62995-d18a-4fbd-ac1c-45b489722e85,Leipzig
e102dc2a-a9db-4a70-adfa-4abd42ad7dcb,Stuttgart
e172e9e7-0a5f-441e-a30f-885ade9a072b,Stuttgart
e186f932-e806-42e0-8957-4f404eb4344c,Stuttgart
e1a15081-24bc-9107-e040-0b0a3dfe563c,Chemnitz
e1a15081-24be-9107-e040-0b0a3dfe563c,Dresden
e1a15081-24c8-9107-e040-0b0a3dfe563c,Berlin
e1a15081-24c9-9107-e040-0b0a3dfe563c,Berlin
e1a15081-24ca-9107-e040-0b0a3dfe563c,Berlin
e1a15081-24cb-9107-e040-0b0a3dfe563c,Berlin
e1a15081-24cc-9107-e040-0b0a3dfe563c,Berlin
e1a15081-24cd-9107-e040-0b0a3dfe563c,Berlin
e1a15081-24ce-9107-e040-0b0a3dfe563c,Berlin
e1a15081-24f8-9107-e040-0b0a3dfe563c,Magdeburg
e1a15081-2508-9107-e040-0b0a3dfe563c,Magdeburg
e1a15081-2513-9107-e040-0b0a3dfe563c,Magdeburg
e1a15081-2514-9107-e040-0b0a3dfe563c,Magdeburg
e1a15081-251a-9107-e040-0b0a3dfe563c,Berlin
e1a15081-251e-9107-e040-0b0a3dfe563c,Chemnitz
e1a15081-251f-9107-e040-0b0a3dfe563c,Chemnitz
e1a15081-2531-9107-e040-0b0a3dfe563c,Berlin
e1a15081-2532-9107-e040-0b0a3dfe563c,Berlin
e1a15081-2534-9107-e040-0b0a3dfe563c,Berlin
e1a15081-253f-9107-e040-0b0a3dfe563c,Berlin
e1a15081-2540-9107-e040-0b0a3dfe563c,Berlin
