uuid,days,open_at,close_at
c5079fde-b790-473c-8f03-63936644ff1e,224,08:00:00,22:00:00
c5079fde-b790-473c-8f03-63936644ff1e,31,06:00:00,22:00:00
01913456-d774-49ee-a5d2-52371850d31e,192,08:00:00,21:00:00
01913456-d774-49ee-a5d2-52371850d31e,32,07:00:00,21:00:00
01913456-d774-49ee-a5d2-52371850d31e,31,06:00:00,21:00:00
09c3e387-1b81-4c37-8b4b-a8dc01a38ca2,96,05:00:00,23:00:00
09c3e387-1b81-4c37-8b4b-a8dc01a38ca2,31,04:00:00,23:00:00
c50bdb16-49e8-4e9a-bf1c-ae44f562dd5e,96,07:00:00,22:00:00
c50bdb16-49e8-4e9a-bf1c-ae44f562dd5e,31,06:00:00,22:00:00
9230dafb-a009-4a8f-bdda-b95a040923c1,224,08:00:00,21:00:00
9230dafb-a009-4a8f-bdda-b95a040923c1,31,06:00:00,21:00:00
8f46fb17-b3f2-47ee-a2bd-867be562f156,192,07:00:00,22:00:00
8f46fb17-b3f2-47ee-a2bd-867be562f156,32,06:00:00,23:00:00
8f46fb17-b3f2-47ee-a2bd-867be562f156,31,06:00:00,22:00:00
c5335c8c-843a-48aa-a7fb-8bc4fc379ded,64,06:00:00,23:00:00
c5335c8c-843a-48aa-a7fb-8bc4fc379ded,32,06:00:00,23:59:59
c5335c8c-843a-48aa-a7fb-8bc4fc379ded,16,05:00:00,23:59:59
c5335c8c-843a-48aa-a7fb-8bc4fc379ded,15,05:00:00,23:00:00
c5352a66-03f6-4cb6-887a-72a86f310f09,192,08:00:00,22:00:00
c5352a66-03f6-4cb6-887a-72a86f310f09,32,07:00:00,22:00:00
c5352a66-03f6-4cb6-887a-72a86f310f09,31,06:00:00,22:00:00
c5382c5a-c58a-4135-845c-64e2f83dc11a,31,06:00:00,14:00:00
ba8a440e-5922-4a65-b5cd-58c83453ad34,64,08:00:00,22:00:00
ba8a440e-5922-4a65-b5cd-58c83453ad34,32,07:00:00,22:00:00
ba8a440e-5922-4a65-b5cd-58c83453ad34,31,05:00:00,22:00:00
019c9c95-0d14-4004-baad-10e49851471d,224,07:00:00,22:30:00
019c9c95-0d14-4004-baad-10e49851471d,31,06:00:00,22:30:00
80c28faf-394b-4675-8a8e-285db96d199e,64,08:00:00,21:00:00
80c28faf-394b-4675-8a8e-285db96d199e,63,06:00:00,21:00:00
c5504513-6920-4135-a8fb-a133c43553bd,64,08:00:00,22:00:00
c5504513-6920-4135-a8fb-a133c43553bd,32,07:00:00,22:00:00
c5504513-6920-4135-a8fb-a133c43553bd,31,06:00:00,22:00:00
80202cc4-6336-4da6-93ab-5e6bbd6371f1,96,08:00:00,22:00:00
80202cc4-6336-4da6-93ab-5e6bbd6371f1,31,06:00:00,22:00:00
c55364d7-cb92-49e2-9792-50f91fcd33d5,64,07:00:00,21:00:00
c55364d7-cb92-49e2-9792-50f91fcd33d5,63,06:00:00,21:00:00
7d8db83b-bb9e-4a3d-8011-0f878d10d3ea,96,06:00:00,22:00:00
7d8db83b-bb9e-4a3d-8011-0f878d10d3ea,31,05:00:00,22:00:00
798ff64f-9e25-4717-a6e1-1ce7dc58fcf9,64,07:00:00,21:00:00
798ff64f-9e25-4717-a6e1-1ce7dc58fcf9,32,06:00:00,21:00:00
798ff64f-9e25-4717-a6e1-1ce7dc58fcf9,31,05:00:00,21:00:00
c57565cf-38fd-4932-bb72-c65828b023a0,64,08:00:00,21:00:00
c57565cf-38fd-4932-bb72-c65828b023a0,32,07:00:00,21:00:00
c57565cf-38fd-4932-bb72-c65828b023a0,31,05:00:00,21:00:00
44912b09-2184-44b9-8310-2a1f80f0d3e2,96,07:00:00,22:00:00
44912b09-2184-44b9-8310-2a1f80f0d3e2,31,06:00:00,22:00:00
6d02123d-6f89-47c2-9941-f4306b0f5aca,127,06:00:00,22:00:00
c576a061-5a8d-463c-8f57-7dacf8497334,96,07:00:00,22:00:00
c576a061-5a8d-463c-8f57-7dacf8497334,31,06:00:00,22:00:00
c58cc81b-f9be-45b1-8eb3-3f803f3f5227,192,08:00:00,22:00:00
c58cc81b-f9be-45b1-8eb3-3f803f3f5227,32,07:00:00,22:00:00
c58cc81b-f9be-45b1-8eb3-3f803f3f5227,31,06:00:00,21:00:00
51d4b59a-a095-1aa0-e100-80009459e03a,192,08:00:00,22:00:00
51d4b59a-a095-1aa0-e100-80009459e03a,32,07:00:00,22:00:00
51d4b59a-a095-1aa0-e100-80009459e03a,31,06:00:00,22:00:00
633b7496-3c43-435d-998a-4787fb6264ae,96,06:00:00,22:30:00
633b7496-3c43-435d-998a-4787fb6264ae,31,05:00:00,22:30:00
61120403-7138-473b-aca6-336cc36dd58f,64,08:00:00,21:00:00
61120403-7138-473b-aca6-336cc36dd58f,32,07:00:00,21:00:00
61120403-7138-473b-aca6-336cc36dd58f,31,06:00:00,21:00:00
01a2003b-3ec1-4be6-aa4e-d46901f836a7,64,08:00:00,22:00:00
01a2003b-3ec1-4be6-aa4e-d46901f836a7,32,07:00:00,22:00:00
01a2003b-3ec1-4be6-aa4e-d46901f836a7,31,06:00:00,22:00:00
51d4b6b5-a095-1aa0-e100-80009459e03a,192,07:00:00,23:00:00
51d4b6b5-a095-1aa0-e100-80009459e03a,63,05:00:00,23:00:00
4494a20c-f84c-4572-8187-b59191cd1fe0,96,06:30:00,20:00:00
4494a20c-f84c-4572-8187-b59191cd1fe0,31,06:00:00,20:00:00
c59e635e-9dfa-4d0a-84e9-baf6fa06fcc1,64,08:00:00,21:00:00
c59e635e-9dfa-4d0a-84e9-baf6fa06fcc1,32,07:00:00,21:00:00
c59e635e-9dfa-4d0a-84e9-baf6fa06fcc1,31,06:00:00,21:00:00
51d4b51f-a095-1aa0-e100-80009459e03a,224,00:00:00,23:59:59
51d4b51f-a095-1aa0-e100-80009459e03a,31,05:00:00,23:59:59
01a70cf5-c2d5-449d-9a32-eadc51695cc5,127,05:00:00,22:00:00
486f52e6-3435-4e4b-949c-cac1e8dc4aae,64,08:00:00,22:00:00
486f52e6-3435-4e4b-949c-cac1e8dc4aae,32,07:00:00,22:00:00
486f52e6-3435-4e4b-949c-cac1e8dc4aae,31,05:30:00,22:00:00
b8f12362-88ed-464d-9682-274d69e7d296,192,07:00:00,22:00:00
b8f12362-88ed-464d-9682-274d69e7d296,32,06:00:00,22:00:00
b8f12362-88ed-464d-9682-274d69e7d296,31,05:00:00,22:00:00
b8f87634-4043-43bd-a764-cddf62f57ffa,95,05:00:00,23:00:00
b8f87634-4043-43bd-a764-cddf62f57ffa,32,05:00:00,23:09:00
48839aa7-166d-41cd-87cb-4f356625bca8,96,07:00:00,21:00:00
48839aa7-166d-41cd-87cb-4f356625bca8,31,06:00:00,21:00:00
b8ff9580-5d82-4097-8ee1-d0e4e5d561b6,96,08:00:00,22:00:00
b8ff9580-5d82-4097-8ee1-d0e4e5d561b6,31,06:00:00,22:00:00
41e27c15-70b5-4458-8880-4f788af77059,127,05:30:00,22:00:00
b90d3e05-8819-4fbd-b8a4-f4493c9948c2,64,08:00:00,22:00:00
b90d3e05-8819-4fbd-b8a4-f4493c9948c2,32,07:00:00,22:00:00
b90d3e05-8819-4fbd-b8a4-f4493c9948c2,31,06:00:00,22:00:00
3e703595-1c36-4ca5-957e-7247c270fc31,192,07:00:00,22:00:00
3e703595-1c36-4ca5-957e-7247c270fc31,32,06:00:00,23:00:00
3e703595-1c36-4ca5-957e-7247c270fc31,16,05:00:00,23:00:00
3e703595-1c36-4ca5-957e-7247c270fc31,15,05:00:00,22:00:00
3e7438b0-23ec-4190-b86c-9114d1fec47f,64,08:00:00,22:00:00
3e7438b0-23ec-4190-b86c-9114d1fec47f,32,07:00:00,22:00:00
3e7438b0-23ec-4190-b86c-9114d1fec47f,31,06:00:00,22:00:00
bbb011fa-5a6f-4d29-add2-59ad9e3ff84c,127,06:00:00,22:00:00
c59f8a45-ea91-4350-94ed-114e2bbf9d32,224,07:00:00,22:00:00
c59f8a45-ea91-4350-94ed-114e2bbf9d32,31,05:00:00,22:00:00
2989da2b-b92c-4692-b3df-28262fe36840,96,06:00:00,22:00:00
2989da2b-b92c-4692-b3df-28262fe36840,31,05:00:00,22:00:00
280b96dc-a428-4b2a-9194-18fd7ae6d29a,127,04:00:00,22:00:00
c5a3f4da-6ee7-4434-926b-9716dd57a240,63,06:30:00,22:00:00
244191c9-0c24-4844-b7db-599929a77cab,31,07:00:00,18:00:00
3e796d9a-4bcc-4833-877a-a62608cf7216,192,08:00:00,21:00:00
3e796d9a-4bcc-4833-877a-a62608cf7216,32,07:00:00,21:00:00
3e796d9a-4bcc-4833-877a-a62608cf7216,31,06:00:00,21:00:00
1edfec10-7861-48c8-9445-ae007d638799,96,06:00:00,22:00:00
1edfec10-7861-48c8-9445-ae007d638799,31,05:00:00,22:00:00
c5af8250-0b43-4dcd-b687-b0db2f91b89b,192,08:00:00,23:00:00
c5af8250-0b43-4dcd-b687-b0db2f91b89b,32,07:00:00,23:00:00
c5af8250-0b43-4dcd-b687-b0db2f91b89b,31,06:00:00,23:00:00
c5c8a00b-6922-4bc1-b978-1ec6a7287c08,64,08:00:00,22:00:00
c5c8a00b-6922-4bc1-b978-1ec6a7287c08,32,07:00:00,22:00:00
c5c8a00b-6922-4bc1-b978-1ec6a7287c08,31,06:00:00,22:00:00
51d4b59c-a095-1aa0-e100-80009459e03a,192,07:00:00,23:59:59
51d4b59c-a095-1aa0-e100-80009459e03a,32,06:00:00,23:59:59
51d4b59c-a095-1aa0-e100-80009459e03a,31,05:00:00,23:59:59
10c1dac6-ede3-46ba-a6fc-928349dc52bc,255,06:00:00,22:00:00
ad7563e9-31b8-4618-bd7a-364009d90a5a,64,09:30:00,20:00:00
ad7563e9-31b8-4618-bd7a-364009d90a5a,32,08:00:00,20:00:00
ad7563e9-31b8-4618-bd7a-364009d90a5a,31,06:30:00,20:00:00
3e7c0f12-9665-40e2-7c70-d0dfb19314cd,192,07:00:00,23:00:00
3e7c0f12-9665-40e2-7c70-d0dfb19314cd,63,05:30:00,23:59:00
c5cdc2db-49de-43e9-9cb1-438152bdeceb,64,08:00:00,23:00:00
c5cdc2db-49de-43e9-9cb1-438152bdeceb,32,07:00:00,23:59:59
c5cdc2db-49de-43e9-9cb1-438152bdeceb,31,06:00:00,23:00:00
4497aba2-c7b7-4965-a651-4d9aadc83c2d,224,08:00:00,22:00:00
4497aba2-c7b7-4965-a651-4d9aadc83c2d,31,06:00:00,22:00:00
c5eea811-0d07-489a-83c5-d1335968495c,255,03:00:00,23:59:59
01dc36d7-b349-4769-9b22-bcf6b30bf6c7,224,07:00:00,20:00:00
01dc36d7-b349-4769-9b22-bcf6b30bf6c7,31,06:00:00,20:00:00
449bbf03-633d-4447-a97d-85176003f4d0,96,06:00:00,21:00:00
449bbf03-633d-4447-a97d-85176003f4d0,31,05:00:00,21:00:00
c600cd2b-a4d1-4b5c-a029-438f9beccb0b,192,08:00:00,23:00:00
c600cd2b-a4d1-4b5c-a029-438f9beccb0b,32,07:00:00,23:00:00
c600cd2b-a4d1-4b5c-a029-438f9beccb0b,31,06:00:00,23:00:00
c615c080-915b-4d1e-8d65-54286e3c4acc,64,08:00:00,23:59:59
c615c080-915b-4d1e-8d65-54286e3c4acc,32,07:00:00,23:59:59
c615c080-915b-4d1e-8d65-54286e3c4acc,31,05:00:00,23:59:59
ad7a3c98-50c8-4d97-880d-172d4a0cfca8,64,07:30:00,20:00:00
ad7a3c98-50c8-4d97-880d-172d4a0cfca8,32,07:30:00,21:00:00
ad7a3c98-50c8-4d97-880d-172d4a0cfca8,31,06:00:00,21:00:00
005056ba-7cb6-1ed2-bceb-ba97aa138d4b,64,08:00:00,22:00:00
005056ba-7cb6-1ed2-bceb-ba97aa138d4b,63,06:00:00,22:00:00
005056ba-7cb6-1ed2-bceb-99abbf748d3b,96,07:00:00,22:00:00
005056ba-7cb6-1ed2-bceb-99abbf748d3b,31,06:00:00,22:00:00
005056ba-7cb6-1ed2-bceb-996ef419cd3b,64,08:00:00,22:00:00
005056ba-7cb6-1ed2-bceb-996ef419cd3b,32,07:00:00,22:00:00
005056ba-7cb6-1ed2-bceb-996ef419cd3b,31,06:00:00,22:00:00
01de617a-fdf6-47a3-a693-626cfeebe182,224,07:00:00,20:30:00
01de617a-fdf6-47a3-a693-626cfeebe182,31,06:00:00,20:30:00
005056ba-7cb6-1ed2-bceb-8ebf627c6d35,127,05:00:00,21:00:00
44ab03f8-c6cc-4af8-a2eb-1812fddfcd21,79,05:30:00,23:00:00
44ab03f8-c6cc-4af8-a2eb-1812fddfcd21,48,05:30:00,23:59:59
005056ba-7cb6-1ed2-bceb-7cc81aa40d2a,64,09:00:00,18:00:00
005056ba-7cb6-1ed2-bceb-7cc81aa40d2a,63,07:00:00,20:00:00
c64df7cb-82d0-45c8-8dc0-c2a9593d0475,63,06:30:00,20:30:00
005056ba-7cb6-1ed2-bceb-6801c0fc0d1f,96,07:00:00,21:00:00
005056ba-7cb6-1ed2-bceb-6801c0fc0d1f,31,05:00:00,22:00:00
005056ba-7cb6-1ed2-bceb-52bb882c0d12,64,07:00:00,21:00:00
005056ba-7cb6-1ed2-bceb-52bb882c0d12,63,06:00:00,21:00:00
c65dc679-79a4-4333-aa9c-6b43babe475b,127,06:00:00,22:00:00
01e6c7f2-3005-4af1-9c85-239dd3f37340,64,06:00:00,22:00:00
01e6c7f2-3005-4af1-9c85-239dd3f37340,63,05:00:00,22:00:00
c6655b86-3212-43c1-8339-1d97ecddf475,192,08:00:00,22:00:00
c6655b86-3212-43c1-8339-1d97ecddf475,32,07:00:00,22:00:00
c6655b86-3212-43c1-8339-1d97ecddf475,31,06:00:00,22:00:00
44ca1163-2610-4621-8e55-9b6a4fb3aaa2,64,08:00:00,20:00:00
44ca1163-2610-4621-8e55-9b6a4fb3aaa2,32,07:30:00,20:00:00
44ca1163-2610-4621-8e55-9b6a4fb3aaa2,31,06:30:00,20:00:00
c6676b74-65f0-450f-b36f-beef988a9e4f,224,07:00:00,22:00:00
c6676b74-65f0-450f-b36f-beef988a9e4f,31,06:00:00,22:00:00
005056ba-7cb6-1ed2-bceb-68e4c06b8d20,64,08:00:00,22:00:00
005056ba-7cb6-1ed2-bceb-68e4c06b8d20,32,07:00:00,22:00:00
005056ba-7cb6-1ed2-bceb-68e4c06b8d20,31,06:00:00,22:00:00
1633762b-e968-47b7-9373-e191d93853f1,64,08:00:00,21:00:00
1633762b-e968-47b7-9373-e191d93853f1,32,07:00:00,21:00:00
1633762b-e968-47b7-9373-e191d93853f1,31,06:00:00,21:00:00
01fb89c6-521b-45ef-8ce2-7dc38568bfa5,64,07:00:00,21:00:00
01fb89c6-521b-45ef-8ce2-7dc38568bfa5,32,06:00:00,21:00:00
01fb89c6-521b-45ef-8ce2-7dc38568bfa5,31,05:00:00,21:00:00
